Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_Status,Booking_TS,Pickup_TS,Return_TS,Odo_Start,Odo_End,Fuel_Level,Rate,Promo_Code,City,GPS_Lat,GPS_Lon,Speed,Payment,Driver_License,Damage_Flag,Notes,Vehicle_ID_Invalid,Duration_Hours,Distance_Driven,Refuel_Event,Prev_Return,Overlap_Flag,Promo_Expiry,Promo_Status,Driver_Behavior,Total_Amount
RES-01293,CUST-0799,CAR-001,Suzuki,Cancelled,2025-01-05 21:46:00.000000,2025-01-09 21:46:00.000000,2025-04-30 11:06:41.938490,70972.0,70972.0,0.75,1500.0,DISC20,Mumbai,12.8992,77.6242,90.0,CARD,DL-3438XXXXXX,Minor,Tyre pressure alert during trip,False,,0.0,Refueled,,False,2026-02-28,Valid,Unknown,0.0
RES-03655,CUST-0243,CAR-001,Suzuki,Completed,2025-04-12 06:48:00.000000,2025-04-13 06:48:00.000000,2025-04-14 10:48:00.000000,79962.0,80173.0,0.3,2300.0,WELCOME5,Mumbai,12.8927,77.5872,49.0,WALLET,DL-9194XXXXXX,Major,Car returned in good condition,False,28.0,211.0,No Refuel,,False,2026-01-31,Valid,Normal Driving,2714.0
RES-01774,CUST-1755,CAR-001,Suzuki,Cancelled,2025-04-14 00:12:00.000000,2025-04-15 00:12:00.000000,2025-04-30 11:06:41.938490,57390.0,57390.0,0.1,1840.0,DISC20,Mumbai,12.8905,77.5807,84.0,CARD,DL-8187XXXXXX,Minor,Car returned in good condition,False,,0.0,No Refuel,2025-04-14 10:48:00,False,2026-02-28,Valid,Fast Driving,0.0
RES-02593,CUST-1437,CAR-001,Suzuki,Completed,2025-06-07 20:51:00.000000,2025-06-09 20:51:00.000000,2025-04-30 11:06:41.938490,60442.0,60884.0,0.3,2300.0,DISC20,Delhi,12.9069,77.5852,90.0,CARD,DL-9254XXXXXX,None,AC performance slightly low,False,,442.0,No Refuel,,False,2026-02-28,Valid,Fast Driving,2714.0
RES-03809,CUST-0799,CAR-001,Suzuki,Cancelled,2025-05-06 00:50:00.000000,2025-06-14 00:50:00.000000,2025-04-30 11:06:41.938490,37275.0,37275.0,0.5,2000.0,NEW10,Chennai,12.9196,77.6102,76.0,CARD,DL-3438XXXXXX,Minor,Low fuel warning observed,False,,0.0,No Refuel,,False,2026-03-31,Valid,Normal Driving,0.0
RES-00003,CUST-1181,CAR-001,Suzuki,Completed,2025-04-01 02:30:17.354033,2025-04-02 02:30:17.354033,2025-03-12 23:07:00.000000,57856.0,58238.0,0.3,2000.0,DISC20,Delhi,12.929,77.6301,128.0,UPI,DL-9542XXXXXX,Minor,Customer reported minor scratch on door,False,,382.0,Refueled,,False,2026-02-28,Valid,Speeding,2360.0
RES-02265,CUST-0117,CAR-002,Toyota,Cancelled,2025-03-10 01:10:00.000000,2025-03-11 01:10:00.000000,2025-04-30 11:06:41.938490,13151.0,13151.0,0.5,2000.0,NEW10,Mumbai,12.9241,77.6053,138.0,UPI,DL-5814XXXXXX,Minor,No Notes,False,,0.0,No Refuel,,False,2026-03-31,Valid,Speeding,0.0
RES-03482,CUST-1936,CAR-002,Toyota,Cancelled,2025-04-18 11:19:54.565826,2025-05-15 01:06:00.000000,2025-04-30 11:06:41.938490,25233.0,25233.0,1.0,2000.0,WELCOME5,Bengaluru,12.9022,77.586,90.0,CARD,DL-7578XXXXXX,Major,Car returned in good condition,False,,0.0,Refueled,,False,2026-01-31,Valid,Unknown,0.0
RES-01461,CUST-0555,CAR-002,Toyota,Completed,2025-04-01 02:30:17.354033,2025-04-02 02:30:17.354033,2025-01-02 20:04:00.000000,39548.0,39636.0,0.1,1835.27,NEW10,Delhi,12.9025,77.5809,28.0,UPI,DL-8144XXXXXX,Minor,AC performance slightly low,False,,88.0,No Refuel,,False,,Invalid,Normal Driving,1393.02
RES-02194,CUST-1667,CAR-002,Toyota,No_Show,2025-04-01 02:30:17.354033,2025-04-02 02:30:17.354033,2025-04-30 11:06:41.938490,29008.0,29112.0,0.1,1500.0,NEW10,Chennai,12.8828,77.6085,46.0,CARD,DL-2386XXXXXX,None,No Notes,False,,104.0,No Refuel,2025-01-02 20:04:00,False,,Invalid,Normal Driving,1770.0
